KPI Examples	VERWALTUNGSINDIKATOREN (KPI)	BESCHREIBUNG	FORMEL & KALKULATION	Wichtig	Links
Projektleitung Kennzahlen	To-Complete Performance Index (TCPI)	Prognostiziert die Kosteneffizienz, die erforderlich ist, um das Projekt innerhalb des Budgets abzuschließen.	(geplanter Haushalt - EV) ÷ (geplanter Haushalt - Tatsächliche Kosten)	Mittel	Link
Projektleitung Kennzahlen	Kostenvarianz (CV)	Messt die Differenz zwischen dem verdienten Wert und den tatsächlichen Kosten.	EV - Tatsächliche Kosten	Hoch	Link
Projektleitung Kennzahlen	Kostenüberschreitung Prozentsatz	Prozentsatz, um den die tatsächlichen Kosten den ursprünglichen Haushaltsplan überschreiten.	(Aktuelle Kosten - Planiertes Budget) ÷ Planiertes Budget × 100	Mittel	Link
Projektleitung Kennzahlen	Kosten pro Lieferbar	Durchschnittliche Kosten pro Liefer- oder Arbeitseinheit abgeschlossen.	Gesamtkosten	Mittel	
Projektleitung Kennzahlen	Budget Burn Rate	Rate, zu der Projektmittel im Laufe der Zeit ausgegeben werden.	(Gesamtzeit abnehmen)	Mittel	Link
Projektleitung Kennzahlen	Team Produktivität und Effizienzkennzahlen				
Projektleitung Kennzahlen	Aufgabenabwicklungsrate	Prozentsatz der Aufgaben, die im Verhältnis zu den insgesamt zugewiesenen Aufgaben erledigt sind.	(Vereinigte Aufgaben ÷ Gesamtaufgaben) × 100	Hoch	
Projektleitung Kennzahlen	Ressourcennutzungsrate	Prozentsatz der verfügbaren Zeit der Teammitglieder für produktive Aufgaben.	(Jährliche Stunden Arbeit ÷ Verfügbare Stunden) × 100	Hoch	
Projektleitung Kennzahlen	Durchschnittliche Aufgabendauer	Durchschnittliche Zeit, um eine Aufgabe abzuschließen.	Total Time Spent on Tasks ÷ Anzahl der Aufgaben	Mittel	
Projektleitung Kennzahlen	Team Productivity Index	Zusammengesetztes Maß an Teamleistung im Verhältnis zu Aufwand und eingesetzten Ressourcen.	Ausgangswert Φ Ressourceneingang	Mittel	Link
Projektleitung Kennzahlen	Mitarbeiterbindung Ergebnis	Messt Team Engagement und Zufriedenheit mit dem Projekt.	Abgeleitet von Engagement-Umfragen und Feedback	Mittel	
Projektleitung Kennzahlen	Billable Utilities Rate	Prozentsatz der Teamstunden, die für die abrechnungsfähige Projektarbeit ausgegeben werden.	(Billable Hours ÷ Total Hours Worked) × 100	Mittel	Link
Projektleitung Kennzahlen	Überstunden	Prozentsatz der über die Standardarbeitszeit geleisteten Arbeitsstunden.	(Überstunden ÷ Gesamtstunden Arbeitet) × 100	Mittel	Link
Projektleitung Kennzahlen	Collaboration Effektiveness Score	Messt die Wirksamkeit von Teamarbeit und Zusammenarbeit.	Umfrage Metrik basierend auf Team-Feedback	Mittel	
Projektleitung Kennzahlen	Absenteism Rate	Prozentsatz der geplanten Arbeitszeiten, die von Teammitgliedern verpasst werden.	(Missed Work Hours ÷ Scheduled Work Hours) × 100	Mittel	Link
Projektleitung Kennzahlen	Wissensvermittlung Index	Messt, wie effektiv Teammitglieder Wissen und Erkenntnisse teilen.	Abgeleitet von Umfrageergebnissen oder beobachteten Aktivitäten	Niedrig	
🛠️ Produktentwicklung Kennzahlen	Durchschnittliche Zeit-zu-Market	Durchschnittliche Zeit, um ein Produkt von Konzept zu Markt bringen.	Gesamtentwicklung Zeit ÷ Anzahl der Produkte	Hoch	Link
🛠️ Produktentwicklung Kennzahlen	Entwicklungszykluszeit	Zeit genommen, um die Entwicklungsphase eines Produktes abzuschließen.	Enddatum - Startdatum für Entwicklungsphase	Hoch	Link
🛠️ Produktentwicklung Kennzahlen	Prozentsatz der On-Time-Einführungen	Prozentsatz der am oder vor dem geplanten Starttermin gestarteten Produkte.	(Überstunden startet ÷ Gesamteinführungen) × 100	Hoch	
🛠️ Produktentwicklung Kennzahlen	Iteration Time pro Produkt	Durchschnittliche Zeit für Iterationen während des Entwicklungszyklus.	Gesamte Iterationszeit ÷ Anzahl der Iterationen	Mittel	
🛠️ Produktentwicklung Kennzahlen	Zeit-zu-Prototyping	Durchschnittliche Zeit braucht es, um den ersten Prototyp zu erstellen.	Gesamt-Prototypenzeit ÷ Anzahl der Prototypen	Mittel	
🛠️ Produktentwicklung Kennzahlen	Bezeichnung des Flaschenhalses Preis	Prozentsatz der Projekte, bei denen Verzögerungen aufgrund von Engpässen festgestellt wurden.	(Projekte mit Engpässen ÷ Gesamtprojekte) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Verzögerungsrate	Prozentsatz der über die geplante Frist hinaus verzögerten Projekte oder Produkte.	(Verzögerte Projekte ÷ Gesamtprojekte) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Durchschnittliche Zulassungszeit	Zeit genommen, um Genehmigungen für den Fortschritt im Entwicklungsprozess zu erhalten.	Gesamtgenehmigungszeit ÷ Anzahl der Genehmigungen	Mittel	
🛠️ Produktentwicklung Kennzahlen	Zeit-zu-Testing	Durchschnittliche Zeit für die Initiierung und Vervollständigung von Produkttestphasen.	Gesamttestzeit ÷ Anzahl der Testzyklen	Mittel	
🛠️ Produktentwicklung Kennzahlen	Launch Readiness Index	Composite-Score-Bewertung der Startbereitschaft basierend auf Schlüsselkriterien (Test, Genehmigung, etc.).	Gewichtetes Ergebnis basierend auf Bereitschaftskriterien	Hoch	
🛠️ Produktentwicklung Kennzahlen	Qualität und Innovation Kennzahlen				
🛠️ Produktentwicklung Kennzahlen	Defektrate	Prozentsatz der bei der Entwicklung oder nach dem Start festgestellten Mängel.	(Defektive Produkte ÷ Gesamtprodukte) × 100	Hoch	Link
🛠️ Produktentwicklung Kennzahlen	Anzahl der eingereichten Patente	Gesamtzahl der Patente, die durch Innovation in der Produktentwicklung eingereicht wurden.	Anzahl der eingereichten Patente	Mittel	
🛠️ Produktentwicklung Kennzahlen	Prozentsatz der neuen Funktionen angenommen	Prozentsatz der neu entwickelten Funktionen, die von den Nutzern erfolgreich übernommen wurden.	(Adopted Features ÷ Neue Features insgesamt) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	First-Pass Yield (FPY)	Prozentsatz der Produkte, die Qualitätstests am ersten Versuch durchführen.	(Units Passed First Attempt ÷ Total Units Tested) × 100	Hoch	
🛠️ Produktentwicklung Kennzahlen	Kundenbeschwerdenquote	Anzahl der Kundenbeschwerden im Zusammenhang mit der Produktqualität pro verkaufter Einheit.	(Gesamtbeschwerden ÷ Einheiten Verkauft) × 100	Hoch	Link
🛠️ Produktentwicklung Kennzahlen	ROI Innovation	Return on Investitionen aus Innovationsbemühungen in der Produktentwicklung.	(Revenue von Innovationen - Innovationskosten) ÷ Innovationskosten × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Produkttest Pass Rate	Prozentsatz der Produkte, die alle Prüfkriterien erfüllen.	(Passed Tests ÷ Gesamttests durchgeführt) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Zeit zum Lösen von Qualitätsproblemen	Durchschnittliche Zeit, die benötigt wird, um gemeldete Qualitätsprobleme zu beheben.	Gesamtauflösung Zeit ÷ Anzahl der Probleme	Mittel	
🛠️ Produktentwicklung Kennzahlen	Idea-to-Implementierung Verhältnis	Prozentsatz der Ideen, die erfolgreich umgesetzt werden.	(Implementierte Ideen ÷ Gesamte Ideen) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Prozentsatz nachhaltiger Produkte	Prozentsatz der Produkte, die mit nachhaltigen oder umweltfreundlichen Materialien entwickelt wurden.	(Nachhaltige Produkte ÷ Gesamtprodukte) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Ressourcen- und Kosteneffizienzkennzahlen				
🛠️ Produktentwicklung Kennzahlen	FuE Ausgaben als Prozentsatz der Einnahmen	Prozentsatz der Einnahmen, die den Forschungs- und Entwicklungstätigkeiten zugewiesen werden.	(Fortsetzung) × 100	Hoch	
🛠️ Produktentwicklung Kennzahlen	Kosten pro Feature entwickelt	Durchschnittliche Kosten für die Entwicklung einer einzigen Funktion.	Gesamtentwicklungskosten ÷ Anzahl der Funktionen Entwickelt	Mittel	Link
🛠️ Produktentwicklung Kennzahlen	Teamnutzung Preis	Prozentsatz der Teamstunden für produktive Entwicklungsaufgaben.	(Aktuelle Arbeitszeit ÷ Verfügbare Arbeitszeiten) × 100	Hoch	Link
🛠️ Produktentwicklung Kennzahlen	Entwicklung Budget Adhering	Prozentsatz der im Rahmen des zugeteilten Haushaltsplans abgeschlossenen Projekte.	(Projekte zum Haushalt ÷ Gesamtprojekte) × 100	Hoch	
🛠️ Produktentwicklung Kennzahlen	Ressourcen-Allokationseffizienz	Prozentsatz der Ressourcen, die in Projekten effektiv genutzt werden.	(Allocated Resources ÷ Verfügbare Ressourcen) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Kostenüberschreitung Prozentsatz	Prozentsatz, um den die tatsächlichen Kosten die Kosten übersteigen.	(Aktuelle Kosten - Geschätzte Kosten) ÷ Geschätzte Kosten × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Preis-Leistungs-Verhältnis	Die durchschnittlichen Kosten der Merkmale entwickelten sich als Anteil der Gesamtproduktkosten.	Gesamtentwicklungskosten ÷ Gesamtproduktentwicklungskosten	Mittel	
🛠️ Produktentwicklung Kennzahlen	Entwicklungsrückstand	Prozentsatz der Entwicklungsarbeiten, die Nacharbeiten oder Korrekturen erfordern.	(Reworked Features ÷ Gesamteigenschaften) × 100	Mittel	
🛠️ Produktentwicklung Kennzahlen	Durchschnittliche Entwicklungskosten pro Stunde	Kosten der Entwicklungsarbeit pro Stunde Teambemühung.	Gesamtentwicklungskosten ÷ Gesamtarbeitsstunden	Mittel	
🛠️ Produktentwicklung Kennzahlen	Resource Turnover Preis	Prozentsatz der Teammitglieder, die während des Entwicklungsprozesses ersetzt wurden.	(Teammitglieder Ersetzt ÷ Gesamtmitglieder) × 100	Mittel	
